"file","subject","run","t","tile","freqtile_power"
"151/stop6/_rustop6_4d.nii.gz","151","stop6",1,1,2.69041198692789
"151/stop6/_rustop6_4d.nii.gz","151","stop6",1,2,0.0277598149910299
"151/stop6/_rustop6_4d.nii.gz","151","stop6",1,3,0.00959226220149609
"151/stop6/_rustop6_4d.nii.gz","151","stop6",1,4,0.00371354816097262
"151/stop6/_rustop6_4d.nii.gz","151","stop6",1,5,0.00266412208725764
"151/stop6/_rustop6_4d.nii.gz","151","stop6",1,6,0.00181660687204146
"151/stop6/_rustop6_4d.nii.gz","151","stop6",1,7,0.00147346616002462
"151/stop6/_rustop6_4d.nii.gz","151","stop6",1,8,0.00119116562984639
"151/stop6/_rustop6_4d.nii.gz","151","stop6",1,9,0.000799397486664839
"151/stop6/_rustop6_4d.nii.gz","151","stop6",1,10,0.000781063550810092
"151/stop6/_rustop6_4d.nii.gz","151","stop6",1,11,0.000785472120099503
"151/stop6/_rustop6_4d.nii.gz","151","stop6",2,1,2.68064275651906
"151/stop6/_rustop6_4d.nii.gz","151","stop6",2,2,0.0280500885626172
"151/stop6/_rustop6_4d.nii.gz","151","stop6",2,3,0.00945952283154697
"151/stop6/_rustop6_4d.nii.gz","151","stop6",2,4,0.00374527460197297
"151/stop6/_rustop6_4d.nii.gz","151","stop6",2,5,0.00261057689074408
"151/stop6/_rustop6_4d.nii.gz","151","stop6",2,6,0.00178745337141756
"151/stop6/_rustop6_4d.nii.gz","151","stop6",2,7,0.0013299115816852
"151/stop6/_rustop6_4d.nii.gz","151","stop6",2,8,0.0010918126666041
"151/stop6/_rustop6_4d.nii.gz","151","stop6",2,9,0.000759465153668487
"151/stop6/_rustop6_4d.nii.gz","151","stop6",2,10,0.000705395743632158
"151/stop6/_rustop6_4d.nii.gz","151","stop6",2,11,0.000671481463436291
"151/stop6/_rustop6_4d.nii.gz","151","stop6",3,1,2.68004787795411
"151/stop6/_rustop6_4d.nii.gz","151","stop6",3,2,0.0278895827455778
"151/stop6/_rustop6_4d.nii.gz","151","stop6",3,3,0.00960551028691413
"151/stop6/_rustop6_4d.nii.gz","151","stop6",3,4,0.00360201680568304
"151/stop6/_rustop6_4d.nii.gz","151","stop6",3,5,0.0026706143949634
"151/stop6/_rustop6_4d.nii.gz","151","stop6",3,6,0.0019637350682507
"151/stop6/_rustop6_4d.nii.gz","151","stop6",3,7,0.00145183646561441
"151/stop6/_rustop6_4d.nii.gz","151","stop6",3,8,0.00120453902500777
"151/stop6/_rustop6_4d.nii.gz","151","stop6",3,9,0.000812313119296628
"151/stop6/_rustop6_4d.nii.gz","151","stop6",3,10,0.000716134236843038
"151/stop6/_rustop6_4d.nii.gz","151","stop6",3,11,0.000713630976764116
"151/stop6/_rustop6_4d.nii.gz","151","stop6",4,1,2.68206126509276
"151/stop6/_rustop6_4d.nii.gz","151","stop6",4,2,0.0277327477973688
"151/stop6/_rustop6_4d.nii.gz","151","stop6",4,3,0.00937109156381233
"151/stop6/_rustop6_4d.nii.gz","151","stop6",4,4,0.00359770464874765
"151/stop6/_rustop6_4d.nii.gz","151","stop6",4,5,0.00249167594256264
"151/stop6/_rustop6_4d.nii.gz","151","stop6",4,6,0.00203436178716381
"151/stop6/_rustop6_4d.nii.gz","151","stop6",4,7,0.00139479871405785
"151/stop6/_rustop6_4d.nii.gz","151","stop6",4,8,0.0010596170849684
"151/stop6/_rustop6_4d.nii.gz","151","stop6",4,9,0.000762381882049995
"151/stop6/_rustop6_4d.nii.gz","151","stop6",4,10,0.000831634359923849
"151/stop6/_rustop6_4d.nii.gz","151","stop6",4,11,0.000622166140549704
"151/stop6/_rustop6_4d.nii.gz","151","stop6",5,1,2.67030055814927
"151/stop6/_rustop6_4d.nii.gz","151","stop6",5,2,0.0275720909768892
"151/stop6/_rustop6_4d.nii.gz","151","stop6",5,3,0.00930253288576227
"151/stop6/_rustop6_4d.nii.gz","151","stop6",5,4,0.00368267506195026
"151/stop6/_rustop6_4d.nii.gz","151","stop6",5,5,0.00253176594336117
"151/stop6/_rustop6_4d.nii.gz","151","stop6",5,6,0.00191843150163542
"151/stop6/_rustop6_4d.nii.gz","151","stop6",5,7,0.00135303809292265
"151/stop6/_rustop6_4d.nii.gz","151","stop6",5,8,0.00105919311648451
"151/stop6/_rustop6_4d.nii.gz","151","stop6",5,9,0.000714403101475159
