"file","subject","run","t","tile","freqtile_power"
"124/stop8/_rustop8_4d.nii.gz","124","stop8",1,1,2.41788879772492
"124/stop8/_rustop8_4d.nii.gz","124","stop8",1,2,0.0193037091143632
"124/stop8/_rustop8_4d.nii.gz","124","stop8",1,3,0.00926590543082981
"124/stop8/_rustop8_4d.nii.gz","124","stop8",1,4,0.00430778369851331
"124/stop8/_rustop8_4d.nii.gz","124","stop8",1,5,0.00254626471310609
"124/stop8/_rustop8_4d.nii.gz","124","stop8",1,6,0.00175263490997402
"124/stop8/_rustop8_4d.nii.gz","124","stop8",1,7,0.00104681446033286
"124/stop8/_rustop8_4d.nii.gz","124","stop8",1,8,0.000855418588730838
"124/stop8/_rustop8_4d.nii.gz","124","stop8",1,9,0.000833219799414255
"124/stop8/_rustop8_4d.nii.gz","124","stop8",1,10,0.000852317517589682
"124/stop8/_rustop8_4d.nii.gz","124","stop8",1,11,0.000702439111172941
"124/stop8/_rustop8_4d.nii.gz","124","stop8",2,1,2.40265821671358
"124/stop8/_rustop8_4d.nii.gz","124","stop8",2,2,0.0192628295297676
"124/stop8/_rustop8_4d.nii.gz","124","stop8",2,3,0.00919384434811073
"124/stop8/_rustop8_4d.nii.gz","124","stop8",2,4,0.00427277778179586
"124/stop8/_rustop8_4d.nii.gz","124","stop8",2,5,0.00245357625881161
"124/stop8/_rustop8_4d.nii.gz","124","stop8",2,6,0.00179468035770902
"124/stop8/_rustop8_4d.nii.gz","124","stop8",2,7,0.00116791954629218
"124/stop8/_rustop8_4d.nii.gz","124","stop8",2,8,0.000853201767909621
"124/stop8/_rustop8_4d.nii.gz","124","stop8",2,9,0.000682726511396239
"124/stop8/_rustop8_4d.nii.gz","124","stop8",2,10,0.000588650031940631
"124/stop8/_rustop8_4d.nii.gz","124","stop8",2,11,0.00069259980157515
"124/stop8/_rustop8_4d.nii.gz","124","stop8",3,1,2.39643472874765
"124/stop8/_rustop8_4d.nii.gz","124","stop8",3,2,0.0194843774101009
"124/stop8/_rustop8_4d.nii.gz","124","stop8",3,3,0.00928211426470693
"124/stop8/_rustop8_4d.nii.gz","124","stop8",3,4,0.00425175999006147
"124/stop8/_rustop8_4d.nii.gz","124","stop8",3,5,0.00242680626332531
"124/stop8/_rustop8_4d.nii.gz","124","stop8",3,6,0.00189350893255916
"124/stop8/_rustop8_4d.nii.gz","124","stop8",3,7,0.00107224637053443
"124/stop8/_rustop8_4d.nii.gz","124","stop8",3,8,0.000915743349051973
"124/stop8/_rustop8_4d.nii.gz","124","stop8",3,9,0.000794607521273936
"124/stop8/_rustop8_4d.nii.gz","124","stop8",3,10,0.000716703050475457
"124/stop8/_rustop8_4d.nii.gz","124","stop8",3,11,0.000713864785232702
"124/stop8/_rustop8_4d.nii.gz","124","stop8",4,1,2.38111169483849
"124/stop8/_rustop8_4d.nii.gz","124","stop8",4,2,0.0192994260431754
"124/stop8/_rustop8_4d.nii.gz","124","stop8",4,3,0.00929768904320893
