"file","subject","run","t","tile","freqtile_power"
"179/stop7/_rustop7_4d.nii.gz","179","stop7",1,1,2.85380805354081
"179/stop7/_rustop7_4d.nii.gz","179","stop7",1,2,0.0221117978353505
"179/stop7/_rustop7_4d.nii.gz","179","stop7",1,3,0.00778288339893638
"179/stop7/_rustop7_4d.nii.gz","179","stop7",1,4,0.00366438130748875
"179/stop7/_rustop7_4d.nii.gz","179","stop7",1,5,0.00252626716818891
"179/stop7/_rustop7_4d.nii.gz","179","stop7",1,6,0.00208626247283994
"179/stop7/_rustop7_4d.nii.gz","179","stop7",1,7,0.00146074037922445
"179/stop7/_rustop7_4d.nii.gz","179","stop7",1,8,0.00115360279923595
"179/stop7/_rustop7_4d.nii.gz","179","stop7",1,9,0.000931417920467329
"179/stop7/_rustop7_4d.nii.gz","179","stop7",1,10,0.000839785666615735
"179/stop7/_rustop7_4d.nii.gz","179","stop7",1,11,0.000837310216937855
"179/stop7/_rustop7_4d.nii.gz","179","stop7",2,1,2.85605527077727
"179/stop7/_rustop7_4d.nii.gz","179","stop7",2,2,0.0214155453817786
"179/stop7/_rustop7_4d.nii.gz","179","stop7",2,3,0.00784259828329443
"179/stop7/_rustop7_4d.nii.gz","179","stop7",2,4,0.00375879448689404
"179/stop7/_rustop7_4d.nii.gz","179","stop7",2,5,0.00234075226870628
"179/stop7/_rustop7_4d.nii.gz","179","stop7",2,6,0.00171982141201138
"179/stop7/_rustop7_4d.nii.gz","179","stop7",2,7,0.0013249089318405
"179/stop7/_rustop7_4d.nii.gz","179","stop7",2,8,0.00117072337278335
"179/stop7/_rustop7_4d.nii.gz","179","stop7",2,9,0.00102616222741454
"179/stop7/_rustop7_4d.nii.gz","179","stop7",2,10,0.000853633232636172
"179/stop7/_rustop7_4d.nii.gz","179","stop7",2,11,0.000835131381357533
"179/stop7/_rustop7_4d.nii.gz","179","stop7",3,1,2.84527108493601
"179/stop7/_rustop7_4d.nii.gz","179","stop7",3,2,0.0212245439377997
"179/stop7/_rustop7_4d.nii.gz","179","stop7",3,3,0.00770155063794804
"179/stop7/_rustop7_4d.nii.gz","179","stop7",3,4,0.00389463377152839
"179/stop7/_rustop7_4d.nii.gz","179","stop7",3,5,0.00262549877285048
"179/stop7/_rustop7_4d.nii.gz","179","stop7",3,6,0.00192887848044803
"179/stop7/_rustop7_4d.nii.gz","179","stop7",3,7,0.00149776193065757
"179/stop7/_rustop7_4d.nii.gz","179","stop7",3,8,0.00105609792424346
"179/stop7/_rustop7_4d.nii.gz","179","stop7",3,9,0.000904424719680312
"179/stop7/_rustop7_4d.nii.gz","179","stop7",3,10,0.000821816966462287
"179/stop7/_rustop7_4d.nii.gz","179","stop7",3,11,0.000786543215048667
"179/stop7/_rustop7_4d.nii.gz","179","stop7",4,1,2.84076460825802
"179/stop7/_rustop7_4d.nii.gz","179","stop7",4,2,0.0211817448678029
"179/stop7/_rustop7_4d.nii.gz","179","stop7",4,3,0.007603525731099
"179/stop7/_rustop7_4d.nii.gz","179","stop7",4,4,0.00364626744381493
"179/stop7/_rustop7_4d.nii.gz","179","stop7",4,5,0.00228590388918162
"179/stop7/_rustop7_4d.nii.gz","179","stop7",4,6,0.00187477901720914
