"file","subject","run","t","tile","freqtile_power"
"195/stop8/_rustop8_4d.nii.gz","195","stop8",1,1,2.09265031156335
"195/stop8/_rustop8_4d.nii.gz","195","stop8",1,2,0.0173440701627932
"195/stop8/_rustop8_4d.nii.gz","195","stop8",1,3,0.00685620290205468
"195/stop8/_rustop8_4d.nii.gz","195","stop8",1,4,0.00315392721063346
"195/stop8/_rustop8_4d.nii.gz","195","stop8",1,5,0.00205519067875761
"195/stop8/_rustop8_4d.nii.gz","195","stop8",1,6,0.00172888422827349
"195/stop8/_rustop8_4d.nii.gz","195","stop8",1,7,0.00119704665506951
"195/stop8/_rustop8_4d.nii.gz","195","stop8",1,8,0.000691635865677149
"195/stop8/_rustop8_4d.nii.gz","195","stop8",1,9,0.000582111943660818
"195/stop8/_rustop8_4d.nii.gz","195","stop8",1,10,0.000424303470437048
"195/stop8/_rustop8_4d.nii.gz","195","stop8",1,11,0.000336416337801686
"195/stop8/_rustop8_4d.nii.gz","195","stop8",2,1,2.09427407172361
"195/stop8/_rustop8_4d.nii.gz","195","stop8",2,2,0.017565259447665
"195/stop8/_rustop8_4d.nii.gz","195","stop8",2,3,0.00671031126469105
"195/stop8/_rustop8_4d.nii.gz","195","stop8",2,4,0.00332356174785232
"195/stop8/_rustop8_4d.nii.gz","195","stop8",2,5,0.00197371458564563
"195/stop8/_rustop8_4d.nii.gz","195","stop8",2,6,0.00165762746157789
"195/stop8/_rustop8_4d.nii.gz","195","stop8",2,7,0.00105352856214025
"195/stop8/_rustop8_4d.nii.gz","195","stop8",2,8,0.000652606970238209
"195/stop8/_rustop8_4d.nii.gz","195","stop8",2,9,0.000553174619197023
"195/stop8/_rustop8_4d.nii.gz","195","stop8",2,10,0.000433216454264376
"195/stop8/_rustop8_4d.nii.gz","195","stop8",2,11,0.000425573171698199
"195/stop8/_rustop8_4d.nii.gz","195","stop8",3,1,2.09559893007448
"195/stop8/_rustop8_4d.nii.gz","195","stop8",3,2,0.0167696881888165
"195/stop8/_rustop8_4d.nii.gz","195","stop8",3,3,0.00665137013227787
"195/stop8/_rustop8_4d.nii.gz","195","stop8",3,4,0.00322805535251239
"195/stop8/_rustop8_4d.nii.gz","195","stop8",3,5,0.00203823959617808
"195/stop8/_rustop8_4d.nii.gz","195","stop8",3,6,0.00152815043805672
"195/stop8/_rustop8_4d.nii.gz","195","stop8",3,7,0.00115139380369271
"195/stop8/_rustop8_4d.nii.gz","195","stop8",3,8,0.000677160378695122
"195/stop8/_rustop8_4d.nii.gz","195","stop8",3,9,0.000551720276606597
"195/stop8/_rustop8_4d.nii.gz","195","stop8",3,10,0.000409770144321224
"195/stop8/_rustop8_4d.nii.gz","195","stop8",3,11,0.000380086461845821
"195/stop8/_rustop8_4d.nii.gz","195","stop8",4,1,2.10403254416827
"195/stop8/_rustop8_4d.nii.gz","195","stop8",4,2,0.0161692042445174
"195/stop8/_rustop8_4d.nii.gz","195","stop8",4,3,0.00665474277483093
"195/stop8/_rustop8_4d.nii.gz","195","stop8",4,4,0.00329196003897606
"195/stop8/_rustop8_4d.nii.gz","195","stop8",4,5,0.00212334275822227
"195/stop8/_rustop8_4d.nii.gz","195","stop8",4,6,0.00173785814236218
"195/stop8/_rustop8_4d.nii.gz","195","stop8",4,7,0.00112427267360164
"195/stop8/_rustop8_4d.nii.gz","195","stop8",4,8,0.000625383552634026
"195/stop8/_rustop8_4d.nii.gz","195","stop8",4,9,0.000512565272436421
"195/stop8/_rustop8_4d.nii.gz","195","stop8",4,10,0.000417232657665592
"195/stop8/_rustop8_4d.nii.gz","195","stop8",4,11,0.000395497341114484
"195/stop8/_rustop8_4d.nii.gz","195","stop8",5,1,2.09216855054343
"195/stop8/_rustop8_4d.nii.gz","195","stop8",5,2,0.0164200197733959
"195/stop8/_rustop8_4d.nii.gz","195","stop8",5,3,0.00671654707064533
"195/stop8/_rustop8_4d.nii.gz","195","stop8",5,4,0.00321009654973925
"195/stop8/_rustop8_4d.nii.gz","195","stop8",5,5,0.00206786428408886
"195/stop8/_rustop8_4d.nii.gz","195","stop8",5,6,0.00162070057382406
"195/stop8/_rustop8_4d.nii.gz","195","stop8",5,7,0.00105281590824151
"195/stop8/_rustop8_4d.nii.gz","195","stop8",5,8,0.00069040369446511
"195/stop8/_rustop8_4d.nii.gz","195","stop8",5,9,0.000573426615224767
"195/stop8/_rustop8_4d.nii.gz","195","stop8",5,10,0.000437342510282048
"195/stop8/_rustop8_4d.nii.gz","195","stop8",5,11,0.000359380926540269
"195/stop8/_rustop8_4d.nii.gz","195","stop8",6,1,2.08074024378731
"195/stop8/_rustop8_4d.nii.gz","195","stop8",6,2,0.0162897036721718
"195/stop8/_rustop8_4d.nii.gz","195","stop8",6,3,0.00679127687670757
"195/stop8/_rustop8_4d.nii.gz","195","stop8",6,4,0.0034705720424122
"195/stop8/_rustop8_4d.nii.gz","195","stop8",6,5,0.00209371701680903
"195/stop8/_rustop8_4d.nii.gz","195","stop8",6,6,0.00164914763364771
"195/stop8/_rustop8_4d.nii.gz","195","stop8",6,7,0.00104437244338078
"195/stop8/_rustop8_4d.nii.gz","195","stop8",6,8,0.000624402840562331
"195/stop8/_rustop8_4d.nii.gz","195","stop8",6,9,0.000541014794435924
"195/stop8/_rustop8_4d.nii.gz","195","stop8",6,10,0.000434858705289429
"195/stop8/_rustop8_4d.nii.gz","195","stop8",6,11,0.000378229908644976
"195/stop8/_rustop8_4d.nii.gz","195","stop8",7,1,2.0782165199407
"195/stop8/_rustop8_4d.nii.gz","195","stop8",7,2,0.0162125263492264
"195/stop8/_rustop8_4d.nii.gz","195","stop8",7,3,0.00674096614630707
"195/stop8/_rustop8_4d.nii.gz","195","stop8",7,4,0.00335602574187538
"195/stop8/_rustop8_4d.nii.gz","195","stop8",7,5,0.00205382059322782
"195/stop8/_rustop8_4d.nii.gz","195","stop8",7,6,0.00179678972442852
"195/stop8/_rustop8_4d.nii.gz","195","stop8",7,7,0.00100765158483602
"195/stop8/_rustop8_4d.nii.gz","195","stop8",7,8,0.000669379663511535
"195/stop8/_rustop8_4d.nii.gz","195","stop8",7,9,0.000520269263734725
"195/stop8/_rustop8_4d.nii.gz","195","stop8",7,10,0.000375482447538088
"195/stop8/_rustop8_4d.nii.gz","195","stop8",7,11,0.000360759545489944
"195/stop8/_rustop8_4d.nii.gz","195","stop8",8,1,2.0672534186453
"195/stop8/_rustop8_4d.nii.gz","195","stop8",8,2,0.0162080169948219
"195/stop8/_rustop8_4d.nii.gz","195","stop8",8,3,0.0068778666788308
"195/stop8/_rustop8_4d.nii.gz","195","stop8",8,4,0.00331149675824325
"195/stop8/_rustop8_4d.nii.gz","195","stop8",8,5,0.00216190523303789
"195/stop8/_rustop8_4d.nii.gz","195","stop8",8,6,0.00170878808341964
"195/stop8/_rustop8_4d.nii.gz","195","stop8",8,7,0.00112411072938354
"195/stop8/_rustop8_4d.nii.gz","195","stop8",8,8,0.000666086814931965
"195/stop8/_rustop8_4d.nii.gz","195","stop8",8,9,0.000611135263510905
"195/stop8/_rustop8_4d.nii.gz","195","stop8",8,10,0.000390113302654911
"195/stop8/_rustop8_4d.nii.gz","195","stop8",8,11,0.000366314381032526
"195/stop8/_rustop8_4d.nii.gz","195","stop8",9,1,2.07264552587103
"195/stop8/_rustop8_4d.nii.gz","195","stop8",9,2,0.016446127720695
"195/stop8/_rustop8_4d.nii.gz","195","stop8",9,3,0.00679692892434231
"195/stop8/_rustop8_4d.nii.gz","195","stop8",9,4,0.00334455518637339
"195/stop8/_rustop8_4d.nii.gz","195","stop8",9,5,0.00202551248716218
"195/stop8/_rustop8_4d.nii.gz","195","stop8",9,6,0.00169235183737407
"195/stop8/_rustop8_4d.nii.gz","195","stop8",9,7,0.00107553395422753
"195/stop8/_rustop8_4d.nii.gz","195","stop8",9,8,0.000670688078516991
"195/stop8/_rustop8_4d.nii.gz","195","stop8",9,9,0.000529884592823113
"195/stop8/_rustop8_4d.nii.gz","195","stop8",9,10,0.000382803678242355
"195/stop8/_rustop8_4d.nii.gz","195","stop8",9,11,0.000361222002443847
"195/stop8/_rustop8_4d.nii.gz","195","stop8",10,1,2.08257881416261
"195/stop8/_rustop8_4d.nii.gz","195","stop8",10,2,0.0163879202990988
"195/stop8/_rustop8_4d.nii.gz","195","stop8",10,3,0.00688675890940065
"195/stop8/_rustop8_4d.nii.gz","195","stop8",10,4,0.00324936584794227
"195/stop8/_rustop8_4d.nii.gz","195","stop8",10,5,0.00200617990178823
"195/stop8/_rustop8_4d.nii.gz","195","stop8",10,6,0.00162671255477646
"195/stop8/_rustop8_4d.nii.gz","195","stop8",10,7,0.000989202748214461
"195/stop8/_rustop8_4d.nii.gz","195","stop8",10,8,0.000603885215685603
"195/stop8/_rustop8_4d.nii.gz","195","stop8",10,9,0.00048706398392786
"195/stop8/_rustop8_4d.nii.gz","195","stop8",10,10,0.000352985943043157
"195/stop8/_rustop8_4d.nii.gz","195","stop8",10,11,0.000363099705851023
"195/stop8/_rustop8_4d.nii.gz","195","stop8",11,1,2.07136130012933
"195/stop8/_rustop8_4d.nii.gz","195","stop8",11,2,0.0162894442403124
"195/stop8/_rustop8_4d.nii.gz","195","stop8",11,3,0.0067104494444774
"195/stop8/_rustop8_4d.nii.gz","195","stop8",11,4,0.00331421933304807
"195/stop8/_rustop8_4d.nii.gz","195","stop8",11,5,0.00197543863365215
"195/stop8/_rustop8_4d.nii.gz","195","stop8",11,6,0.0016494662771077
"195/stop8/_rustop8_4d.nii.gz","195","stop8",11,7,0.00108849463959102
"195/stop8/_rustop8_4d.nii.gz","195","stop8",11,8,0.000686323516222601
"195/stop8/_rustop8_4d.nii.gz","195","stop8",11,9,0.000470875365836455
"195/stop8/_rustop8_4d.nii.gz","195","stop8",11,10,0.000365321116055893
"195/stop8/_rustop8_4d.nii.gz","195","stop8",11,11,0.00037840302267433
"195/stop8/_rustop8_4d.nii.gz","195","stop8",12,1,2.06910696095505
"195/stop8/_rustop8_4d.nii.gz","195","stop8",12,2,0.0164281455095849
"195/stop8/_rustop8_4d.nii.gz","195","stop8",12,3,0.00685792573409831
"195/stop8/_rustop8_4d.nii.gz","195","stop8",12,4,0.00314217527716799
"195/stop8/_rustop8_4d.nii.gz","195","stop8",12,5,0.00200922469247339
"195/stop8/_rustop8_4d.nii.gz","195","stop8",12,6,0.00167565108731547
"195/stop8/_rustop8_4d.nii.gz","195","stop8",12,7,0.0010571369130192
"195/stop8/_rustop8_4d.nii.gz","195","stop8",12,8,0.00061984418786534
"195/stop8/_rustop8_4d.nii.gz","195","stop8",12,9,0.000436100077860805
"195/stop8/_rustop8_4d.nii.gz","195","stop8",12,10,0.000375462115738067
"195/stop8/_rustop8_4d.nii.gz","195","stop8",12,11,0.000411757182248837
"195/stop8/_rustop8_4d.nii.gz","195","stop8",13,1,2.06786026998836
"195/stop8/_rustop8_4d.nii.gz","195","stop8",13,2,0.0164563617050123
"195/stop8/_rustop8_4d.nii.gz","195","stop8",13,3,0.00683579021862766
"195/stop8/_rustop8_4d.nii.gz","195","stop8",13,4,0.00329978437163297
"195/stop8/_rustop8_4d.nii.gz","195","stop8",13,5,0.00200397990834636
"195/stop8/_rustop8_4d.nii.gz","195","stop8",13,6,0.00155633594409174
"195/stop8/_rustop8_4d.nii.gz","195","stop8",13,7,0.00110898793691712
"195/stop8/_rustop8_4d.nii.gz","195","stop8",13,8,0.000639993012745135
"195/stop8/_rustop8_4d.nii.gz","195","stop8",13,9,0.000473192754609847
"195/stop8/_rustop8_4d.nii.gz","195","stop8",13,10,0.000386086759221781
"195/stop8/_rustop8_4d.nii.gz","195","stop8",13,11,0.000412295902989481
"195/stop8/_rustop8_4d.nii.gz","195","stop8",14,1,2.06004612606388
"195/stop8/_rustop8_4d.nii.gz","195","stop8",14,2,0.0164183091377362
"195/stop8/_rustop8_4d.nii.gz","195","stop8",14,3,0.00709553717450739
"195/stop8/_rustop8_4d.nii.gz","195","stop8",14,4,0.00325735284212968
"195/stop8/_rustop8_4d.nii.gz","195","stop8",14,5,0.00201143019359697
"195/stop8/_rustop8_4d.nii.gz","195","stop8",14,6,0.00164619490180607
"195/stop8/_rustop8_4d.nii.gz","195","stop8",14,7,0.00108457290166433
"195/stop8/_rustop8_4d.nii.gz","195","stop8",14,8,0.000645447940746994
"195/stop8/_rustop8_4d.nii.gz","195","stop8",14,9,0.000478134295551268
"195/stop8/_rustop8_4d.nii.gz","195","stop8",14,10,0.000372282833399082
"195/stop8/_rustop8_4d.nii.gz","195","stop8",14,11,0.000396835651837393
"195/stop8/_rustop8_4d.nii.gz","195","stop8",15,1,2.06200793258552
"195/stop8/_rustop8_4d.nii.gz","195","stop8",15,2,0.0163163746499747
"195/stop8/_rustop8_4d.nii.gz","195","stop8",15,3,0.00674813025414528
"195/stop8/_rustop8_4d.nii.gz","195","stop8",15,4,0.00321294801023087
"195/stop8/_rustop8_4d.nii.gz","195","stop8",15,5,0.00199742513558249
"195/stop8/_rustop8_4d.nii.gz","195","stop8",15,6,0.00157279799529731
"195/stop8/_rustop8_4d.nii.gz","195","stop8",15,7,0.00107724876262134
"195/stop8/_rustop8_4d.nii.gz","195","stop8",15,8,0.00064135372514246
"195/stop8/_rustop8_4d.nii.gz","195","stop8",15,9,0.000533922652456588
"195/stop8/_rustop8_4d.nii.gz","195","stop8",15,10,0.000391902236777205
"195/stop8/_rustop8_4d.nii.gz","195","stop8",15,11,0.00046325434307759
"195/stop8/_rustop8_4d.nii.gz","195","stop8",16,1,2.07180677016403
"195/stop8/_rustop8_4d.nii.gz","195","stop8",16,2,0.0165204651908678
"195/stop8/_rustop8_4d.nii.gz","195","stop8",16,3,0.00699962515547311
"195/stop8/_rustop8_4d.nii.gz","195","stop8",16,4,0.00293493648652771
"195/stop8/_rustop8_4d.nii.gz","195","stop8",16,5,0.00201362660687812
"195/stop8/_rustop8_4d.nii.gz","195","stop8",16,6,0.00156299140553543
"195/stop8/_rustop8_4d.nii.gz","195","stop8",16,7,0.00109648132171943
"195/stop8/_rustop8_4d.nii.gz","195","stop8",16,8,0.000719255601749094
"195/stop8/_rustop8_4d.nii.gz","195","stop8",16,9,0.000468912845039247
"195/stop8/_rustop8_4d.nii.gz","195","stop8",16,10,0.000364221593428865
"195/stop8/_rustop8_4d.nii.gz","195","stop8",16,11,0.000446179823650212
"195/stop8/_rustop8_4d.nii.gz","195","stop8",17,1,2.07865517083668
"195/stop8/_rustop8_4d.nii.gz","195","stop8",17,2,0.0169107687326884
"195/stop8/_rustop8_4d.nii.gz","195","stop8",17,3,0.0069526876755085
"195/stop8/_rustop8_4d.nii.gz","195","stop8",17,4,0.00299653740888219
"195/stop8/_rustop8_4d.nii.gz","195","stop8",17,5,0.00200580804857686
"195/stop8/_rustop8_4d.nii.gz","195","stop8",17,6,0.00158798658603115
"195/stop8/_rustop8_4d.nii.gz","195","stop8",17,7,0.00106520336105473
"195/stop8/_rustop8_4d.nii.gz","195","stop8",17,8,0.000653740038723447
"195/stop8/_rustop8_4d.nii.gz","195","stop8",17,9,0.000515446681996117
"195/stop8/_rustop8_4d.nii.gz","195","stop8",17,10,0.000378214161175871
"195/stop8/_rustop8_4d.nii.gz","195","stop8",17,11,0.000398235048559605
"195/stop8/_rustop8_4d.nii.gz","195","stop8",18,1,2.08036187258779
"195/stop8/_rustop8_4d.nii.gz","195","stop8",18,2,0.0168401657983546
"195/stop8/_rustop8_4d.nii.gz","195","stop8",18,3,0.0067771263068409
"195/stop8/_rustop8_4d.nii.gz","195","stop8",18,4,0.00302177620915318
"195/stop8/_rustop8_4d.nii.gz","195","stop8",18,5,0.00205045676845071
"195/stop8/_rustop8_4d.nii.gz","195","stop8",18,6,0.00161187811038793
"195/stop8/_rustop8_4d.nii.gz","195","stop8",18,7,0.0011524075082606
"195/stop8/_rustop8_4d.nii.gz","195","stop8",18,8,0.000650154749394593
"195/stop8/_rustop8_4d.nii.gz","195","stop8",18,9,0.000475460684099694
"195/stop8/_rustop8_4d.nii.gz","195","stop8",18,10,0.000357360000731679
"195/stop8/_rustop8_4d.nii.gz","195","stop8",18,11,0.000458327717639762
"195/stop8/_rustop8_4d.nii.gz","195","stop8",19,1,2.0825095943567
"195/stop8/_rustop8_4d.nii.gz","195","stop8",19,2,0.0169995099695836
"195/stop8/_rustop8_4d.nii.gz","195","stop8",19,3,0.00678667049121603
"195/stop8/_rustop8_4d.nii.gz","195","stop8",19,4,0.0032253281340367
"195/stop8/_rustop8_4d.nii.gz","195","stop8",19,5,0.00210532036333012
"195/stop8/_rustop8_4d.nii.gz","195","stop8",19,6,0.00171046485093172
"195/stop8/_rustop8_4d.nii.gz","195","stop8",19,7,0.00117205750163163
"195/stop8/_rustop8_4d.nii.gz","195","stop8",19,8,0.000683022304948235
"195/stop8/_rustop8_4d.nii.gz","195","stop8",19,9,0.000507610926942666
"195/stop8/_rustop8_4d.nii.gz","195","stop8",19,10,0.000379572667304099
"195/stop8/_rustop8_4d.nii.gz","195","stop8",19,11,0.000449197418484139
"195/stop8/_rustop8_4d.nii.gz","195","stop8",20,1,2.07367503356168
"195/stop8/_rustop8_4d.nii.gz","195","stop8",20,2,0.0171552692355841
"195/stop8/_rustop8_4d.nii.gz","195","stop8",20,3,0.00668183052076946
"195/stop8/_rustop8_4d.nii.gz","195","stop8",20,4,0.00319198053259757
"195/stop8/_rustop8_4d.nii.gz","195","stop8",20,5,0.00201975829112779
"195/stop8/_rustop8_4d.nii.gz","195","stop8",20,6,0.00169058419132161
"195/stop8/_rustop8_4d.nii.gz","195","stop8",20,7,0.00115301522357128
"195/stop8/_rustop8_4d.nii.gz","195","stop8",20,8,0.000646041405723651
"195/stop8/_rustop8_4d.nii.gz","195","stop8",20,9,0.000519585490118694
"195/stop8/_rustop8_4d.nii.gz","195","stop8",20,10,0.000387750394664032
"195/stop8/_rustop8_4d.nii.gz","195","stop8",20,11,0.000447989895153356
"195/stop8/_rustop8_4d.nii.gz","195","stop8",21,1,2.08342481370123
"195/stop8/_rustop8_4d.nii.gz","195","stop8",21,2,0.0166773446710465
"195/stop8/_rustop8_4d.nii.gz","195","stop8",21,3,0.00684582816611445
"195/stop8/_rustop8_4d.nii.gz","195","stop8",21,4,0.0033832432091745
"195/stop8/_rustop8_4d.nii.gz","195","stop8",21,5,0.00205055366801287
"195/stop8/_rustop8_4d.nii.gz","195","stop8",21,6,0.00160442657729027
"195/stop8/_rustop8_4d.nii.gz","195","stop8",21,7,0.00110207557828809
"195/stop8/_rustop8_4d.nii.gz","195","stop8",21,8,0.00068739639391719
"195/stop8/_rustop8_4d.nii.gz","195","stop8",21,9,0.000482627947039938
"195/stop8/_rustop8_4d.nii.gz","195","stop8",21,10,0.000397302311879922
"195/stop8/_rustop8_4d.nii.gz","195","stop8",21,11,0.000450467487446392
"195/stop8/_rustop8_4d.nii.gz","195","stop8",22,1,2.08088277055905
"195/stop8/_rustop8_4d.nii.gz","195","stop8",22,2,0.0160927172131896
"195/stop8/_rustop8_4d.nii.gz","195","stop8",22,3,0.00680713695233131
"195/stop8/_rustop8_4d.nii.gz","195","stop8",22,4,0.003267250593691
"195/stop8/_rustop8_4d.nii.gz","195","stop8",22,5,0.00207855379009512
"195/stop8/_rustop8_4d.nii.gz","195","stop8",22,6,0.00170538359221016
"195/stop8/_rustop8_4d.nii.gz","195","stop8",22,7,0.000980381169053067
"195/stop8/_rustop8_4d.nii.gz","195","stop8",22,8,0.000645614626326768
"195/stop8/_rustop8_4d.nii.gz","195","stop8",22,9,0.00059877279013904
"195/stop8/_rustop8_4d.nii.gz","195","stop8",22,10,0.00040108590271223
