"file","subject","run","t","tile","freqtile_power"
"173/stop8/_rustop8_4d.nii.gz","173","stop8",1,1,3.74636857559466
"173/stop8/_rustop8_4d.nii.gz","173","stop8",1,2,0.0372382316257198
"173/stop8/_rustop8_4d.nii.gz","173","stop8",1,3,0.0154747004801795
"173/stop8/_rustop8_4d.nii.gz","173","stop8",1,4,0.00933119947825657
"173/stop8/_rustop8_4d.nii.gz","173","stop8",1,5,0.0047652612154965
"173/stop8/_rustop8_4d.nii.gz","173","stop8",1,6,0.00356799675130762
"173/stop8/_rustop8_4d.nii.gz","173","stop8",1,7,0.0026956114207881
"173/stop8/_rustop8_4d.nii.gz","173","stop8",1,8,0.00183997384218685
"173/stop8/_rustop8_4d.nii.gz","173","stop8",1,9,0.00139158509058266
"173/stop8/_rustop8_4d.nii.gz","173","stop8",1,10,0.000952720189933615
"173/stop8/_rustop8_4d.nii.gz","173","stop8",1,11,0.000841894129773986
"173/stop8/_rustop8_4d.nii.gz","173","stop8",2,1,3.74652596300341
"173/stop8/_rustop8_4d.nii.gz","173","stop8",2,2,0.037393783655621
"173/stop8/_rustop8_4d.nii.gz","173","stop8",2,3,0.0154031570735648
"173/stop8/_rustop8_4d.nii.gz","173","stop8",2,4,0.00944543578097423
"173/stop8/_rustop8_4d.nii.gz","173","stop8",2,5,0.00453564080670431
"173/stop8/_rustop8_4d.nii.gz","173","stop8",2,6,0.00320872731055583
"173/stop8/_rustop8_4d.nii.gz","173","stop8",2,7,0.0024751291648006
"173/stop8/_rustop8_4d.nii.gz","173","stop8",2,8,0.00161572339663967
"173/stop8/_rustop8_4d.nii.gz","173","stop8",2,9,0.00111308796397709
"173/stop8/_rustop8_4d.nii.gz","173","stop8",2,10,0.000880706261093482
"173/stop8/_rustop8_4d.nii.gz","173","stop8",2,11,0.000822031565517723
"173/stop8/_rustop8_4d.nii.gz","173","stop8",3,1,3.7569919962291
"173/stop8/_rustop8_4d.nii.gz","173","stop8",3,2,0.0373680360808473
"173/stop8/_rustop8_4d.nii.gz","173","stop8",3,3,0.0151345451082261
"173/stop8/_rustop8_4d.nii.gz","173","stop8",3,4,0.00919675927950361
"173/stop8/_rustop8_4d.nii.gz","173","stop8",3,5,0.00441200476642687
"173/stop8/_rustop8_4d.nii.gz","173","stop8",3,6,0.00355539603750227
"173/stop8/_rustop8_4d.nii.gz","173","stop8",3,7,0.00257857091113602
"173/stop8/_rustop8_4d.nii.gz","173","stop8",3,8,0.00173927073983548
"173/stop8/_rustop8_4d.nii.gz","173","stop8",3,9,0.0012711965621904
"173/stop8/_rustop8_4d.nii.gz","173","stop8",3,10,0.000890729117876521
"173/stop8/_rustop8_4d.nii.gz","173","stop8",3,11,0.000854471972664026
"173/stop8/_rustop8_4d.nii.gz","173","stop8",4,1,3.73673430042389
"173/stop8/_rustop8_4d.nii.gz","173","stop8",4,2,0.0369139608279327
"173/stop8/_rustop8_4d.nii.gz","173","stop8",4,3,0.0155882782411418
"173/stop8/_rustop8_4d.nii.gz","173","stop8",4,4,0.00963828596972526
"173/stop8/_rustop8_4d.nii.gz","173","stop8",4,5,0.00438433676762007
"173/stop8/_rustop8_4d.nii.gz","173","stop8",4,6,0.00310315978384228
"173/stop8/_rustop8_4d.nii.gz","173","stop8",4,7,0.00227157212234763
"173/stop8/_rustop8_4d.nii.gz","173","stop8",4,8,0.00168095740790369
"173/stop8/_rustop8_4d.nii.gz","173","stop8",4,9,0.00117574337641502
"173/stop8/_rustop8_4d.nii.gz","173","stop8",4,10,0.000870742528113784
"173/stop8/_rustop8_4d.nii.gz","173","stop8",4,11,0.000807316676634871
"173/stop8/_rustop8_4d.nii.gz","173","stop8",5,1,3.71927206651468
"173/stop8/_rustop8_4d.nii.gz","173","stop8",5,2,0.0372223823168471
"173/stop8/_rustop8_4d.nii.gz","173","stop8",5,3,0.0152539833189978
"173/stop8/_rustop8_4d.nii.gz","173","stop8",5,4,0.00893682412799877
"173/stop8/_rustop8_4d.nii.gz","173","stop8",5,5,0.00433998753173747
"173/stop8/_rustop8_4d.nii.gz","173","stop8",5,6,0.00331759346280743
"173/stop8/_rustop8_4d.nii.gz","173","stop8",5,7,0.00238856108271559
"173/stop8/_rustop8_4d.nii.gz","173","stop8",5,8,0.00168413265567832
"173/stop8/_rustop8_4d.nii.gz","173","stop8",5,9,0.00111419313076141
"173/stop8/_rustop8_4d.nii.gz","173","stop8",5,10,0.000905698361073883
"173/stop8/_rustop8_4d.nii.gz","173","stop8",5,11,0.000854728292460252
"173/stop8/_rustop8_4d.nii.gz","173","stop8",6,1,3.72420891519187
"173/stop8/_rustop8_4d.nii.gz","173","stop8",6,2,0.0369318342752473
"173/stop8/_rustop8_4d.nii.gz","173","stop8",6,3,0.0154527093516981
"173/stop8/_rustop8_4d.nii.gz","173","stop8",6,4,0.00868696729777909
"173/stop8/_rustop8_4d.nii.gz","173","stop8",6,5,0.00418304000907511
"173/stop8/_rustop8_4d.nii.gz","173","stop8",6,6,0.00335838115649693
"173/stop8/_rustop8_4d.nii.gz","173","stop8",6,7,0.00264822161781871
"173/stop8/_rustop8_4d.nii.gz","173","stop8",6,8,0.00172666614162305
"173/stop8/_rustop8_4d.nii.gz","173","stop8",6,9,0.00137605188379943
"173/stop8/_rustop8_4d.nii.gz","173","stop8",6,10,0.000932447389631547
"173/stop8/_rustop8_4d.nii.gz","173","stop8",6,11,0.000894865771089331
"173/stop8/_rustop8_4d.nii.gz","173","stop8",7,1,3.71994597495957
"173/stop8/_rustop8_4d.nii.gz","173","stop8",7,2,0.0368458348356599
"173/stop8/_rustop8_4d.nii.gz","173","stop8",7,3,0.0154574122614914
"173/stop8/_rustop8_4d.nii.gz","173","stop8",7,4,0.00932315915199354
"173/stop8/_rustop8_4d.nii.gz","173","stop8",7,5,0.00460083334758766
"173/stop8/_rustop8_4d.nii.gz","173","stop8",7,6,0.00328798839394337
"173/stop8/_rustop8_4d.nii.gz","173","stop8",7,7,0.00272231526235336
"173/stop8/_rustop8_4d.nii.gz","173","stop8",7,8,0.0017444271813258
"173/stop8/_rustop8_4d.nii.gz","173","stop8",7,9,0.00111382066295684
"173/stop8/_rustop8_4d.nii.gz","173","stop8",7,10,0.000836655527662427
"173/stop8/_rustop8_4d.nii.gz","173","stop8",7,11,0.000763500816545295
"173/stop8/_rustop8_4d.nii.gz","173","stop8",8,1,3.74028650941566
"173/stop8/_rustop8_4d.nii.gz","173","stop8",8,2,0.0370683244619685
"173/stop8/_rustop8_4d.nii.gz","173","stop8",8,3,0.0150210424407318
"173/stop8/_rustop8_4d.nii.gz","173","stop8",8,4,0.00891127292594891
"173/stop8/_rustop8_4d.nii.gz","173","stop8",8,5,0.00468302710092793
"173/stop8/_rustop8_4d.nii.gz","173","stop8",8,6,0.00356361444054111
"173/stop8/_rustop8_4d.nii.gz","173","stop8",8,7,0.00237823653284896
"173/stop8/_rustop8_4d.nii.gz","173","stop8",8,8,0.00166607596170709
"173/stop8/_rustop8_4d.nii.gz","173","stop8",8,9,0.00114437513195418
"173/stop8/_rustop8_4d.nii.gz","173","stop8",8,10,0.000819053160549313
"173/stop8/_rustop8_4d.nii.gz","173","stop8",8,11,0.000819602007324904
"173/stop8/_rustop8_4d.nii.gz","173","stop8",9,1,3.73166266932962
"173/stop8/_rustop8_4d.nii.gz","173","stop8",9,2,0.0371274626194027
"173/stop8/_rustop8_4d.nii.gz","173","stop8",9,3,0.0153929885703343
"173/stop8/_rustop8_4d.nii.gz","173","stop8",9,4,0.00880951549818542
"173/stop8/_rustop8_4d.nii.gz","173","stop8",9,5,0.0043172160192711
"173/stop8/_rustop8_4d.nii.gz","173","stop8",9,6,0.00330337147234044
"173/stop8/_rustop8_4d.nii.gz","173","stop8",9,7,0.00266147969452539
"173/stop8/_rustop8_4d.nii.gz","173","stop8",9,8,0.00170287274636818
"173/stop8/_rustop8_4d.nii.gz","173","stop8",9,9,0.00131269057981737
"173/stop8/_rustop8_4d.nii.gz","173","stop8",9,10,0.000851007203714776
"173/stop8/_rustop8_4d.nii.gz","173","stop8",9,11,0.000794414667172219
"173/stop8/_rustop8_4d.nii.gz","173","stop8",10,1,3.71361466425335
"173/stop8/_rustop8_4d.nii.gz","173","stop8",10,2,0.0368798209752263
"173/stop8/_rustop8_4d.nii.gz","173","stop8",10,3,0.0148045880687154
"173/stop8/_rustop8_4d.nii.gz","173","stop8",10,4,0.00854713166816282
"173/stop8/_rustop8_4d.nii.gz","173","stop8",10,5,0.00470836559481803
"173/stop8/_rustop8_4d.nii.gz","173","stop8",10,6,0.00381903352368114
"173/stop8/_rustop8_4d.nii.gz","173","stop8",10,7,0.0025313391359589
"173/stop8/_rustop8_4d.nii.gz","173","stop8",10,8,0.00174616181701488
"173/stop8/_rustop8_4d.nii.gz","173","stop8",10,9,0.00119219469181387
"173/stop8/_rustop8_4d.nii.gz","173","stop8",10,10,0.000862305813094237
"173/stop8/_rustop8_4d.nii.gz","173","stop8",10,11,0.000759571943821996
"173/stop8/_rustop8_4d.nii.gz","173","stop8",11,1,3.72333077963273
"173/stop8/_rustop8_4d.nii.gz","173","stop8",11,2,0.0369585032862105
