"file","subject","run","t","tile","freqtile_power"
"163/stop5/_rustop5_4d.nii.gz","163","stop5",1,1,3.14450005338919
"163/stop5/_rustop5_4d.nii.gz","163","stop5",1,2,0.0289182254478576
"163/stop5/_rustop5_4d.nii.gz","163","stop5",1,3,0.0126938628717375
"163/stop5/_rustop5_4d.nii.gz","163","stop5",1,4,0.00652341108294289
"163/stop5/_rustop5_4d.nii.gz","163","stop5",1,5,0.002857750011725
"163/stop5/_rustop5_4d.nii.gz","163","stop5",1,6,0.00224957094854954
"163/stop5/_rustop5_4d.nii.gz","163","stop5",1,7,0.00150379865629878
"163/stop5/_rustop5_4d.nii.gz","163","stop5",1,8,0.00121656297981245
"163/stop5/_rustop5_4d.nii.gz","163","stop5",1,9,0.00102072990750635
"163/stop5/_rustop5_4d.nii.gz","163","stop5",1,10,0.000924106113086929
"163/stop5/_rustop5_4d.nii.gz","163","stop5",1,11,0.00106612321568421
"163/stop5/_rustop5_4d.nii.gz","163","stop5",2,1,3.13634581652283
"163/stop5/_rustop5_4d.nii.gz","163","stop5",2,2,0.0288868864575777
"163/stop5/_rustop5_4d.nii.gz","163","stop5",2,3,0.0125460182448433
"163/stop5/_rustop5_4d.nii.gz","163","stop5",2,4,0.00645222553730343
"163/stop5/_rustop5_4d.nii.gz","163","stop5",2,5,0.00291468646675098
"163/stop5/_rustop5_4d.nii.gz","163","stop5",2,6,0.00231098116845719
"163/stop5/_rustop5_4d.nii.gz","163","stop5",2,7,0.00158361616814203
"163/stop5/_rustop5_4d.nii.gz","163","stop5",2,8,0.00116679604816133
"163/stop5/_rustop5_4d.nii.gz","163","stop5",2,9,0.00107034900466593
"163/stop5/_rustop5_4d.nii.gz","163","stop5",2,10,0.000811770639291275
"163/stop5/_rustop5_4d.nii.gz","163","stop5",2,11,0.00105707155115032
"163/stop5/_rustop5_4d.nii.gz","163","stop5",3,1,3.16545855802205
"163/stop5/_rustop5_4d.nii.gz","163","stop5",3,2,0.0294116845103922
"163/stop5/_rustop5_4d.nii.gz","163","stop5",3,3,0.0124408257913498
"163/stop5/_rustop5_4d.nii.gz","163","stop5",3,4,0.00647731272580893
"163/stop5/_rustop5_4d.nii.gz","163","stop5",3,5,0.00281194775196521
"163/stop5/_rustop5_4d.nii.gz","163","stop5",3,6,0.00225160784139094
"163/stop5/_rustop5_4d.nii.gz","163","stop5",3,7,0.00153822802467453
"163/stop5/_rustop5_4d.nii.gz","163","stop5",3,8,0.00123595196083131
"163/stop5/_rustop5_4d.nii.gz","163","stop5",3,9,0.00108362369387505
"163/stop5/_rustop5_4d.nii.gz","163","stop5",3,10,0.00104491460350301
"163/stop5/_rustop5_4d.nii.gz","163","stop5",3,11,0.00107854429702716
"163/stop5/_rustop5_4d.nii.gz","163","stop5",4,1,3.17805342591916
"163/stop5/_rustop5_4d.nii.gz","163","stop5",4,2,0.0294304232417011
"163/stop5/_rustop5_4d.nii.gz","163","stop5",4,3,0.0125839398048187
"163/stop5/_rustop5_4d.nii.gz","163","stop5",4,4,0.00644436958008353
"163/stop5/_rustop5_4d.nii.gz","163","stop5",4,5,0.00273250259622627
"163/stop5/_rustop5_4d.nii.gz","163","stop5",4,6,0.00227689741507851
"163/stop5/_rustop5_4d.nii.gz","163","stop5",4,7,0.00165229406621514
"163/stop5/_rustop5_4d.nii.gz","163","stop5",4,8,0.00116103712479106
"163/stop5/_rustop5_4d.nii.gz","163","stop5",4,9,0.00102622546078632
"163/stop5/_rustop5_4d.nii.gz","163","stop5",4,10,0.000948883886768452
"163/stop5/_rustop5_4d.nii.gz","163","stop5",4,11,0.00113177636384431
"163/stop5/_rustop5_4d.nii.gz","163","stop5",5,1,3.16368909855937
"163/stop5/_rustop5_4d.nii.gz","163","stop5",5,2,0.0289947591574497
"163/stop5/_rustop5_4d.nii.gz","163","stop5",5,3,0.0127264584238987
