subjectID,volume,run,volMean,volSD
101,1,cyb1,8279.275888,1264.635435
101,2,cyb1,8329.250153,1287.762544
101,3,cyb1,8264.947967,1265.547394
101,4,cyb1,8319.480038,1262.625794
101,5,cyb1,8327.422591,1262.936473
101,6,cyb1,8279.202796,1249.61186
101,7,cyb1,8279.909439,1276.698379
101,8,cyb1,8288.145033,1259.179005
101,9,cyb1,8339.696971,1272.804336
101,10,cyb1,8298.236798,1264.474723
101,11,cyb1,8280.02984,1239.828497
101,12,cyb1,8316.762658,1287.417817
101,13,cyb1,8282.187832,1247.406279
101,14,cyb1,8308.109152,1258.489259
101,15,cyb1,8301.728328,1251.412242
101,16,cyb1,8305.313251,1252.204767
101,17,cyb1,8277.37344,1261.50053
101,18,cyb1,8309.879945,1249.378993
101,19,cyb1,8293.881584,1250.08142
101,20,cyb1,8290.968198,1250.361497
101,21,cyb1,8285.184825,1252.330762
101,22,cyb1,8301.912925,1254.881343
101,23,cyb1,8304.40399,1257.342013
101,24,cyb1,8288.498318,1256.231773
101,25,cyb1,8286.581157,1249.729679
101,26,cyb1,8298.487034,1258.604293
101,27,cyb1,8305.270771,1247.456927
101,28,cyb1,8299.858207,1254.704984
101,29,cyb1,8301.028889,1246.226982
101,30,cyb1,8314.179549,1258.379244
101,31,cyb1,8302.124853,1264.665253
101,32,cyb1,8312.370829,1252.841501
101,33,cyb1,8240.157974,1256.501264
101,34,cyb1,8301.847102,1257.809602
101,35,cyb1,8295.98535,1258.921972
101,36,cyb1,8280.958844,1243.633604
101,37,cyb1,8303.245477,1262.839701
101,38,cyb1,8274.981431,1248.050946
101,39,cyb1,8281.043751,1256.69507
101,40,cyb1,8289.818999,1251.985484
101,41,cyb1,8301.52426,1254.191934
101,42,cyb1,8276.073949,1255.081274
101,43,cyb1,8287.322109,1274.141936
101,44,cyb1,8286.462628,1259.126083
101,45,cyb1,8285.318176,1272.231899
101,46,cyb1,8281.473416,1252.560553
101,47,cyb1,8249.616414,1252.813095
101,48,cyb1,8288.421591,1249.306164
101,49,cyb1,8301.941532,1265.199085
101,50,cyb1,8260.238497,1238.25285
101,51,cyb1,8313.12911,1275.579842
101,52,cyb1,8291.810803,1267.558003
101,53,cyb1,8270.5402,1246.640406
101,54,cyb1,8305.987948,1260.806546
101,55,cyb1,8250.970311,1243.388993
101,56,cyb1,8293.631441,1276.760006
101,57,cyb1,8289.061069,1252.831533
101,58,cyb1,8281.918247,1256.493961
101,59,cyb1,8266.365284,1248.627043
101,60,cyb1,8295.314412,1266.533316
101,61,cyb1,8303.596761,1254.943804
101,62,cyb1,8284.118705,1256.001232
101,63,cyb1,8319.304467,1251.803868
101,64,cyb1,8298.815545,1259.981505
101,65,cyb1,8292.814373,1244.55273
101,66,cyb1,8277.223244,1251.727946
101,67,cyb1,8288.76891,1245.537972
101,68,cyb1,8328.672861,1262.630232
101,69,cyb1,8307.718657,1247.914829
101,70,cyb1,8304.802523,1259.277544
101,71,cyb1,8276.995082,1271.443985
101,72,cyb1,8310.489598,1256.752061
101,1,cyb2,8337.346332,1267.93991
101,2,cyb2,8285.822096,1244.624538
101,3,cyb2,8312.138956,1248.036158
101,4,cyb2,8302.544353,1242.053404
