"subjectID","volume","run","volMean","volSD"
"FP001","0001","run1",7802.35513998274,1209.1941861197
"FP001","0002","run1",7792.15096812956,1210.632454506
"FP001","0003","run1",7805.50329290754,1199.70699263409
"FP001","0004","run1",7813.28258449044,1203.93083232673
"FP001","0005","run1",7817.04502548097,1211.82693110244
"FP001","0006","run1",7812.47226876996,1203.21475963438
"FP001","0007","run1",7799.43451786075,1206.45629144237
"FP001","0008","run1",7797.52992545959,1202.82014104767
"FP001","0009","run1",7795.58243976972,1201.83682291665
"FP001","0010","run1",7784.62849544861,1201.89337432536
"FP001","0011","run1",7798.81803433603,1199.2979925627
"FP001","0012","run1",7801.87178464933,1205.52151996871
"FP001","0013","run1",7802.37732664832,1203.68134157291
"FP001","0014","run1",7796.25656159739,1203.22719235046
"FP001","0015","run1",7796.43915612644,1201.13819000713
"FP001","0016","run1",7793.94007952981,1206.17758367167
"FP001","0017","run1",7801.05059338596,1202.32917819295
"FP001","0018","run1",7807.93666852197,1208.77402832797
"FP001","0019","run1",7804.27628648779,1222.87598648648
"FP001","0020","run1",7797.75493026937,1215.08456111944
"FP001","0021","run1",7790.37189707835,1202.31509132841
"FP001","0022","run1",7794.58268141796,1206.62881052692
"FP001","0023","run1",7791.93537528348,1197.43772638517
"FP001","0024","run1",7795.45984332834,1195.62184018471
"FP001","0025","run1",7790.9133899148,1207.8322207855
"FP001","0026","run1",7807.05266661574,1212.94587847058
"FP001","0027","run1",7799.57731137813,1207.7363507347
"FP001","0028","run1",7794.91953263268,1206.01297450835
"FP001","0029","run1",7795.85485192875,1200.43241742061
"FP001","0030","run1",7795.41844575885,1200.42408795804
"FP001","0031","run1",7800.89309635194,1208.62028250082
"FP001","0032","run1",7795.2954897977,1209.14118144165
"FP001","0033","run1",7799.77718185985,1204.21112691796
"FP001","0034","run1",7792.49004129884,1196.10812513661
"FP001","0035","run1",7801.83221516811,1215.81408247332
"FP001","0036","run1",7797.84190036256,1208.7263188888
"FP001","0037","run1",7791.09959387316,1197.35925905828
"FP001","0038","run1",7789.08426917147,1201.4514759386
"FP001","0039","run1",7791.62434903304,1210.06279342887
"FP001","0040","run1",7793.26196835384,1202.42487473858
"FP001","0041","run1",7797.56991037411,1198.54053258911
"FP001","0042","run1",7797.38222688135,1215.55385602666
"FP001","0043","run1",7790.89637410418,1200.84825192092
"FP001","0044","run1",7799.0946780455,1205.2744622128
"FP001","0045","run1",7801.08492764857,1215.77957787341
"FP001","0046","run1",7794.37633803433,1204.84625220814
"FP001","0047","run1",7790.83751775374,1202.44377737055
"FP001","0048","run1",7777.73952855253,1190.88688567477
"FP001","0049","run1",7783.87388145315,1196.23881061767
"FP001","0050","run1",7786.68650633216,1206.86127687168
"FP001","0051","run1",7802.28547796225,1210.3819745296
"FP001","0052","run1",7803.33631452581,1209.51658755098
"FP001","0053","run1",7800.65093793676,1205.03921073682
"FP001","0054","run1",7797.75875392944,1210.82689971971
"FP001","0055","run1",7795.00540206906,1207.6432922048
"FP001","0056","run1",7792.77004529485,1203.64362110712
"FP001","0057","run1",7798.23692263974,1203.38367993638
"FP001","0058","run1",7793.82131070508,1200.64190734571
"FP001","0059","run1",7788.65042427289,1211.20962825285
"FP001","0060","run1",7785.04562066724,1203.61985397799
"FP001","0061","run1",7785.41193017337,1204.42227041435
"FP001","0062","run1",7792.11173129384,1197.18463161445
"FP001","0063","run1",7791.03145049005,1196.45920368861
"FP001","0064","run1",7792.53176212152,1202.55377134275
"FP001","0065","run1",7795.01549659545,1209.31723279967
"FP001","0066","run1",7803.68075411983,1211.9772050788
"FP001","0067","run1",7792.52198438268,1207.50535039804
"FP001","0068","run1",7790.75995654334,1207.67022221733
"FP001","0069","run1",7784.72616789219,1199.75699599961
"FP001","0070","run1",7782.00478095051,1199.92975098315
"FP001","0071","run1",7781.5717897749,1203.99923849506
"FP001","0072","run1",7777.85377920644,1196.03492519385
"FP001","0073","run1",7787.93139997378,1208.63920170724
"FP001","0074","run1",7792.79879683158,1210.70120537368
"FP001","0075","run1",7789.55287904935,1201.81288768946
"FP001","0076","run1",7788.97149092893,1199.36510385532
"FP001","0077","run1",7783.55316383811,1200.35187775074
"FP001","0078","run1",7787.7161023893,1210.19363021643
"FP001","0079","run1",7776.10923938277,1201.69085555824
"FP001","0080","run1",7771.33778914968,1190.22187174371
"FP001","0081","run1",7773.91886730506,1199.38025647071
"FP001","0082","run1",7770.87848524956,1193.986759464
"FP001","0083","run1",7780.78446292014,1195.93992620563
"FP001","0084","run1",7783.63541899991,1201.53116773001
"FP001","0085","run1",7779.00864419467,1206.24672269087
"FP001","0086","run1",7776.50077885451,1199.90718058104
"FP001","0087","run1",7774.44870084423,1193.90836578635
"FP001","0088","run1",7778.05997879179,1202.97571863074
"FP001","0089","run1",7779.30857939633,1198.41790456179
"FP001","0090","run1",7785.94711026388,1197.3805135262
"FP001","0091","run1",7783.54422582937,1195.05651173207
"FP001","0092","run1",7779.9749957606,1201.22631495702
"FP001","0093","run1",7777.22175366052,1197.72649078415
"FP001","0094","run1",7781.96121373186,1198.81787358572
"FP001","0095","run1",7776.55541158912,1192.71885990886
"FP001","0096","run1",7783.64451306154,1205.14102308873
"FP001","0097","run1",7777.36237154842,1189.12937826665
"FP001","0098","run1",7788.1038875827,1198.71989423292
"FP001","0099","run1",7797.99121953885,1203.99875756915
"FP001","0100","run1",7795.14787086487,1199.96043437118
"FP001","0101","run1",7784.77860631289,1217.20693982078
"FP001","0102","run1",7778.87981371043,1198.03615290214
"FP001","0103","run1",7782.39662671167,1192.06699186711
"FP001","0104","run1",7783.33450840862,1207.7564922305
"FP001","0105","run1",7784.02398683376,1202.03184616515
"FP001","0106","run1",7781.00604893843,1190.73759565619
"FP001","0107","run1",7784.77733468995,1205.59126014558
"FP001","0108","run1",7788.66257044929,1204.29154076586
"FP001","0109","run1",7792.42177484632,1197.10000455159
"FP001","0110","run1",7791.09656544457,1201.12869781633
"FP001","0111","run1",7795.33159214718,1208.65979892086
"FP001","0112","run1",7791.83712551935,1198.59768501948
"FP001","0113","run1",7786.21252897948,1200.29309594463
"FP001","0114","run1",7774.67457261919,1193.39622027296
"FP001","0115","run1",7795.40883615387,1197.32248495871
"FP001","0116","run1",7785.80547124098,1198.22936565677
"FP001","0117","run1",7791.943801129,1205.87040299397
"FP001","0118","run1",7784.49113384018,1192.00939612317
